step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
8,CASH_IN,29890.65,C1410084467,6154329.11,6184219.76,C448155494,1198126.17,1451241.25,0,0
13,CASH_OUT,192799.08,C1686799505,185.0,0.0,C175759964,1382142.28,1033360.59,0,0
7,PAYMENT,80.99,C505610079,21903.0,21822.01,M1230581265,0.0,0.0,0,0
9,PAYMENT,30904.27,C1195321505,0.0,0.0,M1138088346,0.0,0.0,0,0
9,CASH_OUT,348455.26,C821515990,202104.25,0.0,C2072201071,1042267.6,1390722.87,0,0
9,CASH_IN,249022.39,C91528099,577.0,249599.39,C1697258007,3005179.13,2834598.99,0,0
16,CASH_IN,129994.45,C1366171567,4865687.73,4995682.18,C1736009915,383512.79,859889.26,0,0
14,CASH_IN,410521.0,C1477693382,40644.0,451165.0,C861720625,4869304.63,4784219.64,0,0
11,CASH_OUT,290134.33,C1370424972,411617.0,121482.67,C615318975,69358.0,0.0,0,0
10,PAYMENT,2719.47,C2112275643,0.0,0.0,M795978102,0.0,0.0,0,0
16,CASH_OUT,206421.42,C835232147,0.0,0.0,C1226227730,507233.69,1724579.65,0,0
17,PAYMENT,5315.04,C1962271283,440571.41,435256.37,M927904824,0.0,0.0,0,0
17,CASH_IN,34790.97,C332825461,518161.94,552952.91,C1856027321,289795.12,255004.15,0,0
17,TRANSFER,2916996.56,C1254876544,37293.0,0.0,C107226328,0.0,2938671.16,0,0
16,CASH_IN,40708.37,C1773712270,7035054.75,7075763.12,C437003373,465721.36,734010.88,0,0
17,CASH_OUT,90708.44,C1686942222,0.0,0.0,C936857833,29367391.35,29931747.22,0,0
10,CASH_OUT,333566.34,C858740986,90183.0,0.0,C2063333886,209542.0,543108.34,0,0
8,CASH_OUT,263983.65,C1920471632,504.0,0.0,C594250212,7154.3,183397.84,0,0
15,CASH_IN,272368.43,C284770129,2793420.89,3065789.32,C77398133,4225416.15,3953047.72,0,0
12,TRANSFER,19472.0,C1101705841,19472.0,0.0,C925285469,0.0,0.0,1,0
14,CASH_OUT,114212.12,C2035490940,0.0,0.0,C305606841,1291465.31,2436743.86,0,0
9,CASH_IN,88313.8,C514963897,13843024.92,13931338.72,C346546542,1333796.46,1552875.54,0,0
13,PAYMENT,60757.63,C1483378535,198785.0,138027.37,M2040825096,0.0,0.0,0,0
16,CASH_IN,122861.92,C1977244303,3984313.57,4107175.5,C1993384024,331935.9,209073.98,0,0
12,CASH_OUT,120573.6,C1700869776,4082.0,0.0,C91104252,1843039.5,2408757.61,0,0
10,TRANSFER,493612.88,C1151890639,0.0,0.0,C1989592028,968889.27,1462502.15,0,0
14,PAYMENT,2498.16,C118423726,730434.49,727936.33,M1641961169,0.0,0.0,0,0
13,PAYMENT,6989.05,C443620892,107373.0,100383.95,M1835001657,0.0,0.0,0,0
9,CASH_IN,237464.81,C1814585750,22478354.37,22715819.19,C1698371518,3770958.0,3533493.19,0,0
1,PAYMENT,8791.02,C993420850,41330.0,32538.98,M1374982240,0.0,0.0,0,0
14,CASH_IN,7916.84,C535572432,2442.0,10358.84,C1597149460,0.0,0.0,0,0
9,CASH_IN,126179.68,C554081025,360082.81,486262.48,C913001083,625708.5,1223885.17,0,0
15,CASH_OUT,403723.62,C919570150,19303.0,0.0,C1713359611,0.0,647373.9,0,0
17,PAYMENT,23993.37,C385794484,44771.96,20778.6,M1662032861,0.0,0.0,0,0
10,PAYMENT,6357.57,C953234498,540.0,0.0,M655249332,0.0,0.0,0,0
10,CASH_OUT,259600.72,C212479121,183813.82,0.0,C1663824951,595346.48,1595583.91,0,0
11,TRANSFER,1159723.0,C1028067690,336384.53,0.0,C1681202502,1330487.36,2490210.36,0,0
17,CASH_OUT,368200.19,C1814849577,40349.0,0.0,C812434152,514470.06,878605.07,0,0
14,PAYMENT,13238.03,C1076196580,458305.78,445067.75,M34834413,0.0,0.0,0,0
11,PAYMENT,33113.12,C239871328,0.0,0.0,M1636390309,0.0,0.0,0,0
11,CASH_OUT,357528.18,C13776265,10740.0,0.0,C287259122,0.0,357528.18,0,0
14,CASH_OUT,89265.77,C1886980479,0.0,0.0,C563925518,224553.56,122679.43,0,0
14,CASH_OUT,222146.12,C1974168693,69617.0,0.0,C1416917726,4408852.98,4630999.1,0,0
7,CASH_OUT,209887.2,C2505415,0.0,0.0,C1619402333,2258295.49,5810930.82,0,0
16,CASH_OUT,128418.12,C196210724,39907.0,0.0,C351716642,1831262.6,1959680.72,0,0
15,CASH_IN,400840.1,C278026484,2474457.92,2875298.01,C1743304222,3541347.86,3604347.11,0,0
11,CASH_IN,99101.41,C838772619,644329.69,743431.1,C1190215254,1092249.04,993147.62,0,0
9,PAYMENT,3201.04,C868612762,390493.73,387292.69,M2089215545,0.0,0.0,0,0
13,TRANSFER,48375.02,C920803432,48375.02,0.0,C1767389067,0.0,0.0,1,0
9,CASH_OUT,361559.69,C684758020,361559.69,0.0,C1769042905,504667.31,189441.24,1,0
14,PAYMENT,13838.27,C275660878,244.0,0.0,M1787281458,0.0,0.0,0,0
18,CASH_IN,67615.77,C1645074353,8477476.0,8545091.76,C1912609905,71779.89,4164.12,0,0
13,CASH_OUT,1161495.82,C165094398,1161495.82,0.0,C1966002811,319036.02,1565123.81,1,0
9,CASH_OUT,111501.86,C1875819428,0.0,0.0,C1794607688,894241.43,1432116.68,0,0
8,CASH_OUT,116444.85,C1617006163,0.0,0.0,C1787868648,11043932.21,15128076.87,0,0
17,PAYMENT,17024.32,C658398495,14827.22,0.0,M1167108960,0.0,0.0,0,0
16,PAYMENT,18563.08,C828071965,5078.0,0.0,M2054469274,0.0,0.0,0,0
10,PAYMENT,15300.69,C285237065,20566.0,5265.31,M514796681,0.0,0.0,0,0
14,CASH_OUT,61200.84,C1982938356,13041.0,0.0,C98205255,10693.0,0.0,0,0
16,CASH_OUT,361925.76,C1968076169,0.0,0.0,C800523009,7370628.98,7732554.74,0,0
11,CASH_OUT,191104.15,C1751403403,32151.0,0.0,C1568958326,1677035.67,1766669.6,0,0
16,CASH_OUT,22624.31,C934202871,0.0,0.0,C364892052,862792.0,885416.31,0,0
11,CASH_IN,152423.35,C1451345774,3439363.13,3591786.48,C1383605612,29560254.29,29559946.87,0,0
10,CASH_IN,326772.84,C1855795213,95104.04,421876.88,C393980565,105.0,0.0,0,0
12,PAYMENT,15843.61,C651767452,0.0,0.0,M81241808,0.0,0.0,0,0
9,TRANSFER,617587.88,C1222903785,0.0,0.0,C1719798166,864888.52,1877869.22,0,0
10,CASH_OUT,220141.84,C261468276,0.0,0.0,C300142229,344089.09,754578.02,0,0
7,CASH_IN,217950.88,C1370256119,1586252.19,1804203.07,C1922859107,427789.04,209838.16,0,0
7,CASH_OUT,305871.8,C1908173076,54163.3,0.0,C1315729466,887534.29,803908.4,0,0
9,CASH_OUT,285193.22,C1157955338,0.0,0.0,C1887021195,1210949.17,2411521.87,0,0
16,CASH_OUT,163811.96,C742753137,0.0,0.0,C621810262,5176028.14,5339840.1,0,0
3,CASH_OUT,10539.37,C1984954272,10539.37,0.0,C124540047,0.0,10539.37,1,0
18,CASH_OUT,1276.25,C529068014,83759.0,82482.75,C1788392812,228543.63,229819.89,0,0
16,CASH_IN,189582.51,C2016335414,96046.49,285629.0,C1850803964,237928.68,48346.17,0,0
15,PAYMENT,7754.69,C942913854,0.0,0.0,M809562742,0.0,0.0,0,0
7,PAYMENT,14538.29,C1931674065,14855.0,316.71,M153840495,0.0,0.0,0,0
16,PAYMENT,5099.36,C1606309982,713405.32,708305.96,M108080893,0.0,0.0,0,0
14,CASH_OUT,177235.41,C1179195926,19991.0,0.0,C1621805812,1798073.33,2148918.37,0,0
15,CASH_OUT,181185.23,C521339066,54066.35,0.0,C1313255889,443449.63,624634.85,0,0
11,PAYMENT,2885.79,C423171912,68342.6,65456.82,M80543844,0.0,0.0,0,0
15,PAYMENT,8143.57,C1472759329,86465.0,78321.43,M1388138189,0.0,0.0,0,0
14,CASH_IN,343505.61,C1878848740,9097.0,352602.61,C2075432600,0.0,0.0,0,0
8,PAYMENT,9785.35,C1557259078,0.0,0.0,M1758932400,0.0,0.0,0,0
15,CASH_IN,165046.86,C524184610,326.0,165372.86,C2123742401,1011681.36,846634.51,0,0
13,CASH_OUT,189802.2,C862050278,0.0,0.0,C1996122613,203189.3,392991.5,0,0
12,PAYMENT,11870.35,C625003198,1892992.46,1881122.11,M55284231,0.0,0.0,0,0
14,CASH_IN,152504.7,C616428314,7427340.01,7579844.71,C1678952333,779460.15,849876.86,0,0
13,CASH_OUT,27835.13,C723052256,1596299.08,1568463.94,C1324196239,2280831.96,2308667.1,0,0
11,CASH_OUT,172112.44,C1557762942,0.0,0.0,C1635341595,10007300.64,10179413.08,0,0
11,CASH_IN,373246.33,C1123907301,10699958.07,11073204.4,C17524345,578093.04,204846.71,0,0
17,TRANSFER,275467.1,C1669298280,0.0,0.0,C1432492263,2212559.08,2488026.18,0,0
12,PAYMENT,22860.95,C2122062477,538.0,0.0,M1073715239,0.0,0.0,0,0
9,TRANSFER,91167.29,C18717948,10627.0,0.0,C646059443,602164.89,693332.18,0,0
12,CASH_IN,208408.84,C29827001,289135.78,497544.62,C57497207,1398922.38,1872686.59,0,0
14,CASH_OUT,316482.34,C451854813,0.0,0.0,C1018394275,5602208.14,5991479.66,0,0
10,PAYMENT,3237.74,C47888435,308293.43,305055.69,M1127717700,0.0,0.0,0,0
15,PAYMENT,16312.02,C805141705,13849.0,0.0,M1945630826,0.0,0.0,0,0
10,CASH_OUT,457141.38,C2028114703,0.0,0.0,C8271807,9932570.27,10591045.94,0,0
17,PAYMENT,8215.69,C798759178,56554.79,48339.11,M336158647,0.0,0.0,0,0
9,PAYMENT,190.4,C1423319090,0.0,0.0,M1445268890,0.0,0.0,0,0
17,CASH_OUT,20662.28,C853463174,9767.0,0.0,C122086708,933751.93,954414.21,0,0
13,PAYMENT,4528.21,C271231215,1900833.07,1896304.86,M1486922057,0.0,0.0,0,0
8,CASH_IN,203926.5,C824464107,6842351.53,7046278.04,C1474120649,220651.59,23013.03,0,0
10,PAYMENT,7313.01,C140909966,1479238.58,1471925.57,M461702120,0.0,0.0,0,0
9,PAYMENT,21963.25,C1990178935,39.0,0.0,M1401544044,0.0,0.0,0,0
12,CASH_OUT,155620.01,C786150762,273518.0,117897.99,C197716503,881682.32,819069.14,0,0
11,CASH_OUT,175371.77,C935807780,15786.0,0.0,C607727429,0.0,175371.77,0,0
17,PAYMENT,18614.88,C76354815,3175.0,0.0,M1185192357,0.0,0.0,0,0
16,CASH_OUT,76555.82,C1650553229,298483.54,221927.71,C683354465,280911.41,357467.23,0,0
9,CASH_OUT,356317.7,C730378285,188685.86,0.0,C1173662257,401561.45,2706884.51,0,0
8,PAYMENT,7032.05,C595665629,113503.39,106471.34,M1912710034,0.0,0.0,0,0
14,PAYMENT,6218.67,C1847514297,0.0,0.0,M1224939743,0.0,0.0,0,0
16,PAYMENT,14563.75,C2408727,12263.0,0.0,M793291824,0.0,0.0,0,0
14,CASH_OUT,71216.64,C1635723875,9503.0,0.0,C1260921041,215.0,894761.83,0,0
17,TRANSFER,1884653.25,C547753060,0.0,0.0,C546541217,3772435.5,5657088.75,0,0
10,CASH_OUT,232506.1,C519420858,0.0,0.0,C830831744,3940452.17,4808621.55,0,0
13,CASH_OUT,132897.01,C1632574425,0.0,0.0,C1116924775,2558570.82,2691467.84,0,0
11,CASH_OUT,236385.93,C1124917887,105317.0,0.0,C1477641326,1970261.4,2206647.33,0,0
12,PAYMENT,1579.97,C41698524,174281.37,172701.4,M1592429559,0.0,0.0,0,0
11,PAYMENT,17413.06,C1571882850,582.0,0.0,M1413265754,0.0,0.0,0,0
17,CASH_OUT,125621.06,C1265869669,806385.16,680764.11,C204342191,220664.86,346285.92,0,0
16,CASH_OUT,96062.72,C1889136323,129367.76,33305.04,C2072852748,3018851.79,2779875.29,0,0
12,CASH_OUT,49554.54,C1092845529,15632.0,0.0,C1091540273,0.0,49554.54,0,0
9,CASH_OUT,218428.86,C1436906357,0.0,0.0,C334261928,237337.65,1474656.46,0,0
15,TRANSFER,835444.82,C375215803,5058.0,0.0,C2095611317,3138634.41,3974079.22,0,0
11,PAYMENT,3217.95,C607573448,69.0,0.0,M1764892206,0.0,0.0,0,0
9,PAYMENT,29810.79,C1745822231,69327.0,39516.21,M1184909774,0.0,0.0,0,0
9,PAYMENT,2978.54,C501079082,66252.53,63273.99,M2118176995,0.0,0.0,0,0
17,CASH_OUT,112955.64,C1985691413,0.0,0.0,C1188427220,2197502.61,2166233.87,0,0
10,CASH_IN,39594.82,C349560302,6676459.17,6716053.99,C2067546399,1496056.94,2240957.42,0,0
10,CASH_OUT,172638.01,C817133449,0.0,0.0,C921424481,413851.13,258953.94,0,0
10,CASH_OUT,74577.96,C1596867440,1128666.38,1054088.42,C13627188,391667.89,448356.56,0,0
12,PAYMENT,12.47,C53317480,0.0,0.0,M1707154725,0.0,0.0,0,0
16,CASH_OUT,403477.36,C288453122,0.0,0.0,C1845441367,499449.42,998189.97,0,0
12,TRANSFER,2286167.51,C1736709613,217.0,0.0,C442617206,206753.4,2595918.34,0,0
10,PAYMENT,6804.36,C605647954,100251.0,93446.64,M56409526,0.0,0.0,0,0
14,CASH_OUT,92843.7,C1154119562,99184.0,6340.3,C644345897,2910616.35,3003460.05,0,0
17,CASH_OUT,130808.49,C594499220,0.0,0.0,C1737413597,284366.66,415175.15,0,0
9,CASH_IN,33344.14,C1225394478,2488259.53,2521603.67,C1323741703,1984823.79,1951479.65,0,0
1,CASH_OUT,132842.64,C13692003,4499.08,0.0,C297927961,0.0,132842.64,1,0
9,PAYMENT,6879.3,C857383519,0.0,0.0,M1074212379,0.0,0.0,0,0
10,CASH_OUT,265412.11,C866974354,716050.02,450637.91,C803330617,0.0,265412.11,0,0
15,CASH_OUT,429704.47,C99575712,54226.0,0.0,C157658054,2750611.51,3180315.98,0,0
9,PAYMENT,10325.88,C2118922196,0.0,0.0,M963222289,0.0,0.0,0,0
15,CASH_OUT,261922.63,C771195068,51279.0,0.0,C1259673000,0.0,306023.33,0,0
16,CASH_OUT,105774.34,C1289093750,0.0,0.0,C1134976854,2269447.12,2375221.46,0,0
11,PAYMENT,7715.74,C1363932041,13730.0,6014.26,M432647339,0.0,0.0,0,0
13,PAYMENT,6250.54,C1049920733,55069.66,48819.12,M8782016,0.0,0.0,0,0
16,PAYMENT,2551.07,C1794700830,527.8,0.0,M1900938812,0.0,0.0,0,0
14,TRANSFER,699483.42,C933851996,947.0,0.0,C959160265,9505020.24,10204503.66,0,0
13,PAYMENT,2480.56,C2016837510,596669.88,594189.32,M702053350,0.0,0.0,0,0
11,PAYMENT,17119.08,C1362082164,799709.52,782590.44,M991703118,0.0,0.0,0,0
5,PAYMENT,11691.84,C43402513,4388.54,0.0,M1855590605,0.0,0.0,0,0
14,CASH_OUT,356013.42,C654783265,111.0,0.0,C1410971605,0.0,305811.54,0,0
15,CASH_IN,240719.47,C1885793849,0.0,240719.47,C109023801,146557.47,0.0,0,0
8,CASH_OUT,402929.89,C1497496596,2602.0,0.0,C363932613,42986.71,337555.55,0,0
16,CASH_OUT,185778.24,C1231534508,0.0,0.0,C1750956965,9259082.74,9714164.4,0,0
13,TRANSFER,1391016.04,C651860707,0.0,0.0,C429582623,2227303.51,3436113.46,0,0
15,CASH_IN,205352.95,C1002469872,2914872.19,3120225.14,C1668385603,733274.33,527921.38,0,0
15,CASH_OUT,117622.18,C1209631585,118.0,0.0,C714836870,0.0,195379.83,0,0
13,CASH_IN,439814.59,C2109216560,434.0,440248.59,C1456810254,269899.43,69794.91,0,0
12,PAYMENT,25538.03,C383978607,1823926.67,1798388.64,M1618509450,0.0,0.0,0,0
16,PAYMENT,16589.58,C1888572337,111287.27,94697.7,M507444975,0.0,0.0,0,0
14,CASH_OUT,4086.82,C1878364541,0.0,0.0,C1589130277,185432.75,0.0,0,0
13,CASH_OUT,103523.54,C968598365,380607.05,277083.51,C509492666,730762.58,834286.12,0,0
16,PAYMENT,10798.93,C186640730,17487.0,6688.07,M229394836,0.0,0.0,0,0
12,CASH_OUT,185692.18,C1534952439,0.0,0.0,C1922860062,709259.67,894951.86,0,0
16,CASH_OUT,112174.33,C1482461771,185141.35,72967.02,C1890087601,353445.88,465620.21,0,0
16,CASH_OUT,54215.43,C1999400986,0.0,0.0,C1669546416,1805725.34,1991210.35,0,0
12,CASH_OUT,274465.01,C466783719,0.0,0.0,C1203172736,531660.42,640920.53,0,0
12,TRANSFER,1878495.55,C1012882312,4612.0,0.0,C1672771078,304808.59,2183304.14,0,0
17,CASH_OUT,244748.75,C440161470,30903.0,0.0,C86510648,30276.09,124197.5,0,0
16,TRANSFER,334748.93,C990925061,179.0,0.0,C1710901767,0.0,334748.93,0,0
17,CASH_OUT,427011.07,C655783079,0.0,0.0,C1150224259,696693.92,1587374.97,0,0
15,TRANSFER,735420.67,C755616175,0.0,0.0,C793305966,8839177.1,9479869.31,0,0
9,CASH_OUT,277236.03,C340910278,504238.0,227001.97,C51289896,64727.67,341963.69,0,0
8,CASH_OUT,5775.88,C741825876,0.0,0.0,C126778243,78777.41,84553.29,0,0
12,CASH_IN,119183.35,C1206318522,991534.05,1110717.4,C1566081912,443881.45,154310.97,0,0
14,CASH_OUT,46863.7,C1773918213,10226.0,0.0,C1684776894,2901605.01,2948468.71,0,0
10,CASH_OUT,207626.9,C1248363698,0.0,0.0,C1761741722,2615026.58,4452718.22,0,0
10,CASH_OUT,53260.32,C1243367567,0.0,0.0,C1739263553,200611.57,253871.89,0,0
14,PAYMENT,16608.81,C2033783468,1078.0,0.0,M706010351,0.0,0.0,0,0
17,PAYMENT,8178.65,C2048360545,923633.89,915455.24,M563854300,0.0,0.0,0,0
9,TRANSFER,350705.74,C1452168793,350705.74,0.0,C399194578,0.0,1184633.07,1,0
16,CASH_IN,232960.82,C1698735679,8694248.51,8927209.33,C431687661,969578.23,736617.41,0,0
9,TRANSFER,91053.75,C1649565158,0.0,0.0,C1870498110,2694993.52,2971920.62,0,0
16,CASH_IN,19414.34,C320747837,3636482.44,3655896.78,C1839388616,78457.14,129419.19,0,0
17,CASH_IN,101798.28,C225226429,219925.0,321723.28,C1426939716,376280.24,274481.96,0,0
14,TRANSFER,32905.93,C2097068550,0.0,0.0,C1357670903,620429.42,650890.82,0,0
18,CASH_IN,290780.51,C2039878072,6257337.13,6548117.64,C1320731747,508095.67,217315.17,0,0
17,PAYMENT,21530.23,C701148783,105941.0,84410.77,M890625452,0.0,0.0,0,0
17,CASH_IN,173090.34,C261737513,6006.0,179096.34,C408493660,395961.97,1045862.66,0,0
16,CASH_IN,376520.66,C2146356393,2152.0,378672.66,C260445116,111245.61,0.0,0,0
17,CASH_IN,248825.23,C217135609,10846.0,259671.23,C376916770,747370.29,498545.06,0,0
7,TRANSFER,1718569.78,C1450451686,0.0,0.0,C214774813,17771335.88,22638306.95,0,0
15,TRANSFER,601999.99,C596728056,0.0,0.0,C766327981,3515254.38,4117254.36,0,0
13,PAYMENT,25073.58,C1328261621,11370.0,0.0,M807250791,0.0,0.0,0,0
11,PAYMENT,36125.54,C2026660117,0.0,0.0,M1842760877,0.0,0.0,0,0
15,CASH_OUT,143387.41,C656445551,1900.0,0.0,C285163095,4163.31,256067.08,0,0
17,TRANSFER,738308.78,C1739759221,0.0,0.0,C2131646292,7493439.41,7904016.28,0,0
17,CASH_OUT,113621.48,C922926891,424.0,0.0,C1144019592,0.0,113621.48,0,0
6,CASH_OUT,84326.18,C1312126866,49379.86,0.0,C202149782,127637.01,211963.2,0,0
17,CASH_OUT,398305.78,C1754472826,0.0,0.0,C943832506,1454702.72,1853008.5,0,0
9,CASH_IN,157777.78,C2084341113,5229134.3,5386912.08,C711248671,2489048.66,3687633.15,0,0
17,TRANSFER,962219.95,C1124034237,203025.0,0.0,C796944725,515302.58,1477522.53,0,0
15,CASH_IN,230400.61,C1491193538,57086.0,287486.61,C1741453179,829446.55,599045.94,0,0
16,CASH_OUT,186221.34,C791876438,0.0,0.0,C876071903,432122.32,618343.66,0,0
14,CASH_OUT,53660.35,C1005697499,0.0,0.0,C2122510978,107963.0,161623.35,0,0
10,CASH_IN,108944.25,C1176192113,11087.0,120031.25,C1308408600,27141.07,0.0,0,0
17,CASH_OUT,214363.06,C1877178669,64668.0,0.0,C697139545,0.0,214363.06,0,0
7,PAYMENT,3199.12,C625020031,9469.0,6269.88,M443251421,0.0,0.0,0,0
14,CASH_IN,828310.12,C1623261779,8648961.5,9477271.62,C913001083,2185044.04,1356733.92,0,0
15,CASH_OUT,91667.22,C1927369784,10915.0,0.0,C1046190725,934740.55,1026407.78,0,0
13,CASH_OUT,116585.9,C1768313988,0.0,0.0,C1568059495,1109205.76,1225791.66,0,0
16,CASH_OUT,156562.85,C1248865549,0.0,0.0,C475670359,239959.74,617234.47,0,0
14,CASH_OUT,74496.56,C1257585617,0.0,0.0,C826383690,1599590.01,1674086.58,0,0
10,PAYMENT,1429.26,C1471158499,0.0,0.0,M903019698,0.0,0.0,0,0
9,PAYMENT,6905.67,C246658964,0.0,0.0,M1373391443,0.0,0.0,0,0
16,CASH_IN,86160.96,C1558838534,2185528.49,2271689.45,C1441684483,129132.94,42971.97,0,0
11,CASH_IN,60720.73,C1048308227,1695882.51,1756603.24,C803116137,32435033.05,32374312.32,0,0
14,CASH_OUT,2927005.15,C2010427735,2927005.15,0.0,C1887744176,0.0,2994420.07,1,0
18,CASH_OUT,436383.15,C404100486,122221.0,0.0,C1849300624,2660162.86,3096546.02,0,0
12,PAYMENT,7494.87,C1881400926,100732.0,93237.13,M1657601605,0.0,0.0,0,0
12,CASH_OUT,127714.43,C393216827,42228.0,0.0,C636026459,0.0,156957.83,0,0
9,TRANSFER,57975.94,C1459633096,242175.35,184199.41,C1498789728,74244.0,0.0,0,0
10,CASH_OUT,293352.45,C496456570,105801.72,0.0,C157316544,792475.18,1085827.62,0,0
15,CASH_OUT,178522.44,C2089693463,0.0,0.0,C1117888429,2726782.83,2905305.26,0,0
16,CASH_OUT,119218.8,C1614036905,146842.0,27623.2,C1687217451,2213043.94,2332262.74,0,0
12,PAYMENT,409.5,C1307093432,828664.66,828255.16,M1122746846,0.0,0.0,0,0
11,CASH_IN,225710.13,C411988948,296765.0,522475.13,C2107476765,8565751.63,8895915.29,0,0
11,PAYMENT,3430.06,C808266203,278687.82,275257.77,M2137304968,0.0,0.0,0,0
17,CASH_OUT,47929.95,C550016275,0.0,0.0,C1931460274,2996778.8,3044708.75,0,0
14,CASH_IN,63739.37,C744850961,0.0,63739.37,C1769562038,2214721.83,2668588.74,0,0
16,CASH_OUT,89551.38,C59549012,16011.0,0.0,C614239874,23070.0,54928.55,0,0
9,TRANSFER,1220596.44,C1082353322,344435.39,0.0,C1232925466,664291.53,2232709.18,0,0
10,CASH_IN,41490.04,C326167616,944.0,42434.04,C1370787297,734829.89,693339.85,0,0
16,CASH_OUT,290162.39,C1926582263,0.0,0.0,C1396297158,3741093.26,3912180.34,0,0
12,CASH_OUT,276910.28,C558998218,0.0,0.0,C486539138,444364.55,721274.83,0,0
17,TRANSFER,695729.33,C1571196737,0.0,0.0,C462951945,749919.9,1776271.86,0,0
10,PAYMENT,7359.35,C2117334713,121826.0,114466.65,M1862815898,0.0,0.0,0,0
17,CASH_IN,383004.15,C2097142560,3084.0,386088.15,C1047108779,1178716.69,795712.54,0,0
14,CASH_OUT,923821.27,C2138718954,0.0,0.0,C1796287634,8248208.67,9934777.09,0,0
9,TRANSFER,1379632.04,C1320852463,826.0,0.0,C1692207232,32105.0,2286880.13,0,0
9,CASH_OUT,177222.7,C676985238,51022.0,0.0,C420762376,302730.38,2716785.65,0,0
15,CASH_IN,60479.19,C1538703548,31083.0,91562.19,C880092896,789902.98,729423.79,0,0
11,CASH_IN,204187.95,C1540512464,319331.22,523519.18,C1304495746,15804.86,0.0,0,0
10,CASH_IN,193606.98,C1963172475,10923.0,204529.98,C1102765913,0.0,0.0,0,0
10,CASH_OUT,811586.19,C882262124,247437.84,0.0,C505973878,4240639.76,5052225.95,0,0
15,PAYMENT,10248.68,C1400479585,223369.0,213120.32,M967929595,0.0,0.0,0,0
7,TRANSFER,487344.19,C2022680863,0.0,0.0,C1651945012,529493.11,1556799.98,0,0
12,PAYMENT,13687.33,C491351219,0.0,0.0,M947287953,0.0,0.0,0,0
15,PAYMENT,2310.05,C913303657,55439.46,53129.41,M1214936559,0.0,0.0,0,0
10,PAYMENT,20583.95,C173104133,10438.6,0.0,M1986819296,0.0,0.0,0,0
15,CASH_OUT,239157.84,C593506932,444803.82,205645.99,C1030781919,1585688.24,2024078.53,0,0
16,CASH_IN,116271.58,C319827734,610.0,116881.58,C1574258774,18264.28,0.0,0,0
14,CASH_IN,31952.41,C815819605,20494968.34,20526920.74,C1539958048,120259.87,88307.46,0,0
